_index,_index_f1,start,end,Form 2: This form is regarding water quality and solid waste,Section 1: General information and safety ,safety,team_code,rhs_lhs,location,lat,long,Section 2. The next set of questions will be related to water quality  and stormwater connections. ,,,inlets,inlets_pic,,unauthorised_inlets,unauthorised_inlets_pic,,observations,water_stagnant,water_contamination,water_colour,water_turbidity,water_smell,water_pic,,Section 3. Next set of questions are about solid waste and clean up efforts.,sw_inside,sw_inside_type,sw_inside_source,sw_inside_pic,,sw_outside,sw_outside_type,sw_outside_source,sw_outside_pic,,sw_clean_up,,,,community_engagement,,,,,,community_engagement_pic,,outdated,,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,outdated,_tags,meta/rootUuid,_drain,_drain_secondary,_team_name
_index_old,_index_new,start,end,,,_1_1_Your_safety_is_our_priority,_1_2_Team_code,_1_3_Enter_Right_hand_as_per_the_My_Maps,_1_4_Record_your_curr_lways_select_precise,,,,,,_2_1_Do_you_see_storm_onnecting_to_the_SWD,_2_2_Take_a_picture_o_r_connections_inlets,,_2_3_Can_you_see_any_ts_connecting_to_SWD,_2_4_Please_take_a_pi_d_connections_inlets,,_2_5_Any_other_observ_tion_please_specify,_2_6_Is_the_water_stagnant_or_flowing,_2_7_Signs_of_contami_n_visible_indicators,_2_8_How_would_you_de_ibe_the_water_colour,_2_9_How_would_you_describe_the_turbidity,_2_10_How_would_you_d_ribe_the_odour_smell,water_turbidity_pic,,,_3_1_Is_there_solid_waste_inside_the_SWD,_3_2_Type_of_solid_wa_Based_on_observation,_3_3_Likely_source_of_waste,_3_4_Click_an_image_o_waste_inside_the_SWD,,_3_5_Is_there_solid_w_ste_outside_the_SWD,_3_6_Type_of_waste_ou_Based_on_observation,_3_7_Likely_source_of_aste_outside_the_SWD,_3_8_Click_a_image_of_aste_outside_the_SWD,,_3_9_Are_there_signs_of_clean_up_effort,,,,_3_10_Are_there_any_s_community_engagement,,,,,,_3_11_Please_take_a_p_community_engagement,,Thank_you_for_filling_the_audit_form,_id,_uuid,_submission_time,,_notes,_status,_submitted_by,__version__,_tags,meta/rootUuid,_drain,,_team_name
24,38,2026-01-31T10:51:50.092+05:30,2026-01-31T11:09:13.807+05:30,,,yes__i_feel_safe_to_conduct_audit,A4,rhs,12.9152264 77.644632 812.7999877929688 3.957,12.9152264,77.644632,,,,yes,1769837279109.jpg,,No,,,,Flowing,Black or grey water,Greenish,Clear,Less odour (I am able to stand near the SWD),1769837696526.jpg,,,Yes,Mixed,"Trees, households",1769837819259.jpg,,Yes,Mixed,"Household waste, concrete debris caused by the markets neatby and residential area",1769837924709.jpg,,no,,,,Not Applicable,,,,,,,,OK,660488434,386756d0-2e23-4a43-a00e-72fb736e16d0,2026-01-31T05:39:55,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:386756d0-2e23-4a43-a00e-72fb736e16d0,K200,,Mod Foundation
25,24,2026-01-31T11:08:21.084+05:30,2026-01-31T11:15:52.852+05:30,,,yes__i_feel_safe_to_conduct_audit,A6,lhs,12.9154279 77.6421605 810.3999633789062 4.358,12.9154279,77.6421605,,,,yes,1769837993388.jpg,,Cannot see,,,Inlet going across street to the drain,Flowing,Cannot See,Black,Cloudy,Less odour (I am able to stand near the SWD),,,,Yes,Mixed,,1769838286209.jpg,,Yes,Mixed,,1769838314676.jpg,,no,,,,Plants,,,,,,1769838347055.jpg,,OK,660491476,b7813894-059c-4b97-b2ac-7e633b53e541,2026-01-31T05:46:11,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:b7813894-059c-4b97-b2ac-7e633b53e541,K200,,Mod Foundation
27,40,2026-01-31T11:19:42.352+05:30,2026-01-31T11:24:56.548+05:30,,,yes__i_feel_safe_to_conduct_audit,A4,rhs,12.9154223 77.6430158 810.5999755859375 4.823,12.9154223,77.6430158,,,,yes,1769838619597.jpg,,Cannot see,,,,Flowing,Black or grey water,Greenish,Clear,Less odour (I am able to stand near the SWD),,,,Yes,Mixed,"Households, shops",1769838816543.jpg,,Yes,Mixed,Household and concrete debris CND waste,1769838881569.jpg,,no,,,,Not Applicable,,,,,,,,OK,660499402,c4c07413-d4db-4a53-8f6b-1487bac188e1,2026-01-31T06:05:27,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:c4c07413-d4db-4a53-8f6b-1487bac188e1,K200,,Mod Foundation
28,28,2026-01-31T10:50:04.357+05:30,2026-01-31T11:02:49.425+05:30,,,yes__i_feel_safe_to_conduct_audit,A5,lhs,12.9152026 77.6444501 812.2000122070312 4.824,12.9152026,77.6444501,,,,no,,,No,,,None,Flowing,Solid Particles Or Oily Film On Water,Greenish,Cloudy,No Odour,1769837351770.jpg,,,Yes,Household (mostly),"Households, shops",1769837450204.jpg,,Yes,Household Mostly,"Households, shops",1769837502982.jpg,,no,,,,Not Applicable,,,,,,,,OK,660519033,54bc4b3b-42df-4ae4-bd61-8dc91359f61d,2026-01-31T06:44:28,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:54bc4b3b-42df-4ae4-bd61-8dc91359f61d,K200,,Mod Foundation
29,33,2026-01-31T11:23:12.587+05:30,2026-01-31T11:31:28.886+05:30,,,yes__i_feel_safe_to_conduct_audit,A5,rhs,12.9156558 77.6417475 810.7999877929688 4.168,12.9156558,77.6417475,,,,yes,1769838839467.jpg,,No,,,,Flowing,Solid Particles Or Oily Film On Water,Greenish,Cloudy,Less odour (I am able to stand near the SWD),1769838988955.jpg,,,Yes,Household (mostly),Households throwing waste,1769839061276.jpg,,Yes,Construction Debris,Construction material,1769839120603.jpg,,yes,,,,Not Applicable,,,,,,,,OK,660519120,0aea12c0-4fa1-47af-a997-305ab8017bfe,2026-01-31T06:44:36,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:0aea12c0-4fa1-47af-a997-305ab8017bfe,K200,,Mod Foundation
30,34,2026-01-31T11:37:40.634+05:30,2026-01-31T11:40:22.478+05:30,,,yes__i_feel_safe_to_conduct_audit,A5,lhs,12.9156411 77.6401987 811.0 4.984,12.9156411,77.6401987,,,,yes,1769839708138.jpg,,No,,,,Flowing,Black or grey water,Greenish,Cannot see,Less odour (I am able to stand near the SWD),,,,Cannot See,Cannot See,NA,,,No,No waste,,,,yes,,,,Plants,,,,,,1769839818747.jpg,,OK,660519142,ee985eaf-78a2-4e4a-b3b8-26768e38732f,2026-01-31T06:44:38,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:ee985eaf-78a2-4e4a-b3b8-26768e38732f,K200,,Mod Foundation
31,32,2026-01-31T11:57:15.588+05:30,2026-01-31T12:14:11.751+05:30,,,yes__i_feel_safe_to_conduct_audit,A5,rhs,12.9156483 77.6371392 810.5 4.713,12.9156483,77.6371392,,,,no,1769841534371.jpg,,No,,,,Flowing,Black or grey water,Greenish,Opaque,Strong smell of sewage (unable to stand near the SWD),1769841649631.jpg,,,Yes,Mixed,"Household, construction",1769841732321.jpg,,Yes,Mixed,"Household, construction ",1769841793498.jpg,,no,,,,Not Applicable,,,,,,,,,660519166,ecb36654-14fc-46dd-a965-df0cfe30ca8b,2026-01-31T06:44:41,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:ecb36654-14fc-46dd-a965-df0cfe30ca8b,K200,,Mod Foundation
32,29,2026-01-31T11:05:40.623+05:30,2026-01-31T11:12:52.045+05:30,,,yes__i_feel_safe_to_conduct_audit,A5,rhs,12.9153728 77.6435315 811.2000122070312 4.288,12.9153728,77.6435315,,,,no,,,Yes,1769837895923.jpg,,,Flowing,Solid Particles Or Oily Film On Water,Greenish,Cloudy,Less odour (I am able to stand near the SWD),1769838029880.jpg,,,Yes,Mixed,"Households, leaves, branches of trees",1769838101531.jpg,,Yes,Mixed,Households,1769838156654.jpg,,no,,,,Not Applicable,,,,,,,,OK,660519174,42f25b3d-2129-4aed-96f0-5910fab4cffe,2026-01-31T06:44:42,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:42f25b3d-2129-4aed-96f0-5910fab4cffe,K200,,Mod Foundation
33,31,2026-01-31T11:45:02.270+05:30,2026-01-31T11:51:37.893+05:30,,,no__do_not_want_to_conduct_survey,A5,lhs,12.9156429 77.6397979 811.5 4.466,12.9156429,77.6397979,,,,yes,1769840201355.jpg,,Yes,1769840241927.jpg,,,Flowing,Solid Particles Or Oily Film On Water,Greenish,Cloudy,Less odour (I am able to stand near the SWD),1769840338556.jpg,,,Yes,Mixed,"Household, STP plant",1769840439231.jpg,,Yes,Mixed,"Household, STP plant",1769840475839.jpg,,no,,,,Not Applicable,,,,,,,,OK,660519533,8f8ad509-439d-405f-a479-941ebdcf7c23,2026-01-31T06:45:23,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:8f8ad509-439d-405f-a479-941ebdcf7c23,K200,,Mod Foundation
34,41,2026-01-31T11:37:10.375+05:30,2026-01-31T11:43:28.491+05:30,,,yes__i_feel_safe_to_conduct_audit,A4,lhs,12.9156054 77.6407184 800.06298828125 3.79,12.9156054,77.6407184,,,,no,,,Yes,1769839786030.jpg,,,Flowing,Black or grey water,Greenish,Clear,Less odour (I am able to stand near the SWD),1769839847306.jpg,,,Yes,Mixed,"Household, commercial, cnd waste",1769839902969.jpg,,Yes,Construction Debris,Construction nearby,1769839971313.jpg,,yes,,,,Plants,,,,,,1769840004291.jpg,,OK,660525369,193a506b-7f64-4520-9091-67ea429cf671,2026-01-31T06:55:12,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:193a506b-7f64-4520-9091-67ea429cf671,K200,,Mod Foundation
