_index,_index_f1,start,end,Form 2: This form is regarding water quality and solid waste,Section 1: General information and safety ,safety,team_code,rhs_lhs,location,lat,long,Section 2. The next set of questions will be related to water quality  and stormwater connections. ,,,inlets,inlets_pic,,unauthorised_inlets,unauthorised_inlets_pic,,observations,water_stagnant,water_contamination,water_colour,water_turbidity,water_smell,water_pic,,Section 3. Next set of questions are about solid waste and clean up efforts.,sw_inside,sw_inside_type,sw_inside_source,sw_inside_pic,,sw_outside,sw_outside_type,sw_outside_source,sw_outside_pic,,sw_clean_up,,,,community_engagement,,,,,,community_engagement_pic,,outdated,,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,outdated,_tags,meta/rootUuid,_drain,_drain_secondary,_team_name
_index_old,_index_new,start,end,,,_1_1_Your_safety_is_our_priority,_1_2_Team_code,_1_3_Enter_Right_hand_as_per_the_My_Maps,_1_4_Record_your_curr_lways_select_precise,,,,,,_2_1_Do_you_see_storm_onnecting_to_the_SWD,_2_2_Take_a_picture_o_r_connections_inlets,,_2_3_Can_you_see_any_ts_connecting_to_SWD,_2_4_Please_take_a_pi_d_connections_inlets,,_2_5_Any_other_observ_tion_please_specify,_2_6_Is_the_water_stagnant_or_flowing,_2_7_Signs_of_contami_n_visible_indicators,_2_8_How_would_you_de_ibe_the_water_colour,_2_9_How_would_you_describe_the_turbidity,_2_10_How_would_you_d_ribe_the_odour_smell,water_turbidity_pic,,,_3_1_Is_there_solid_waste_inside_the_SWD,_3_2_Type_of_solid_wa_Based_on_observation,_3_3_Likely_source_of_waste,_3_4_Click_an_image_o_waste_inside_the_SWD,,_3_5_Is_there_solid_w_ste_outside_the_SWD,_3_6_Type_of_waste_ou_Based_on_observation,_3_7_Likely_source_of_aste_outside_the_SWD,_3_8_Click_a_image_of_aste_outside_the_SWD,,_3_9_Are_there_signs_of_clean_up_effort,,,,_3_10_Are_there_any_s_community_engagement,,,,,,_3_11_Please_take_a_p_community_engagement,,Thank_you_for_filling_the_audit_form,_id,_uuid,_submission_time,,_notes,_status,_submitted_by,__version__,_tags,meta/rootUuid,_drain,,_team_name
114,129,2026-02-22T11:03:20.889+05:30,2026-02-22T11:10:58.672+05:30,,,yes__i_feel_safe_to_conduct_audit,A22,lhs,"12.8992744, 77.5390531",12.8992744,77.5390531,,,,yes,1771738531605.jpg,,Yes,1771738582531.jpg,,No,Flowing,Black or grey water,Greenish,Cloudy,Less odour (I am able to stand near the SWD),1771738691564.jpg,,,Yes,Construction Debris,"Big plastic bags,covers etc",1771738792203.jpg,,Yes,Household (mostly),"Food waste ,plastic waste etc",1771738833737.jpg,,no,,,,Not Applicable,,,,,,,,OK,677288654,c1f6a384-7d00-4e9b-897b-b9321816121a,2026-02-22T06:43:35,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:c1f6a384-7d00-4e9b-897b-b9321816121a,RN223,,RNSIT MUN Society
115,131,2026-02-22T11:18:21.776+05:30,2026-02-22T11:25:25.699+05:30,,,yes__i_feel_safe_to_conduct_audit,A22,lhs,"12.9002161, 77.5406059",12.9002161,77.5406059,,,,no,,,Yes,1771739477191.jpg,,A big pipeline connecting the drainage ,Flowing,Black or grey water,Greenish,Cloudy,Less odour (I am able to stand near the SWD),1771739579526.jpg,,,Yes,Household (mostly),"Harmful covers ,packed food covers ,papers etc",1771739646090.jpg,,Yes,Household (mostly),"Plastic covers, papers etc",1771739703550.jpg,,no,,,,Not Applicable,,,,,,,,OK,677288727,f83efcf5-7119-453d-bb39-d0613ccc87d6,2026-02-22T06:43:46,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:f83efcf5-7119-453d-bb39-d0613ccc87d6,RN223,,RNSIT MUN Society
116,132,2026-02-22T11:29:46.333+05:30,2026-02-22T11:36:47.629+05:30,,,yes__i_feel_safe_to_conduct_audit,A22,rhs,"12.9010029, 77.5410306",12.9010029,77.5410306,,,,yes,1771740129905.jpg,,Yes,1771740202252.jpg,,A big fencing ,Flowing,Black or grey water,Greenish,Cloudy,Less odour (I am able to stand near the SWD),1771740289373.jpg,,,Yes,Mixed,"Bags,clothes etc",1771740327939.jpg,,No,No waste,No waste ,,,yes,,,,Plants,,,,,,1771740384795.jpg,,OK,677288770,34bb5aed-adc2-4b32-9ad7-9c3489696974,2026-02-22T06:43:55,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:34bb5aed-adc2-4b32-9ad7-9c3489696974,RN223,,RNSIT MUN Society
117,134,2026-02-22T11:46:41.348+05:30,2026-02-22T11:51:25.204+05:30,,,yes__i_feel_safe_to_conduct_audit,A22,rhs,"12.9019134, 77.5416763",12.9019134,77.5416763,,,,no,,,Yes,1771741093974.jpg,,No,Flowing,Black or grey water,Other Colour,Cloudy,Less odour (I am able to stand near the SWD),1771741169044.jpg,,,Yes,Household (mostly),"Clothes,plastic bags,plastic covers etc ",1771741210742.jpg,,No,No waste,No waste ,,,no,,,,Not Applicable,,,,,,,,OK,677288825,335644f8-8364-4ebf-bb48-8701255fb50c,2026-02-22T06:44:06,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:335644f8-8364-4ebf-bb48-8701255fb50c,RN223,,RNSIT MUN Society
118,109,2026-02-22T10:13:26.384+05:30,2026-02-22T10:30:19.495+05:30,,,yes__i_feel_safe_to_conduct_audit,A22,lhs,"12.8995422, 77.5348489",12.8995422,77.5348489,,,,yes,1771736384697.jpg,,Yes,1771736338893.jpg,,Found some small holes on the retaining walls ,Flowing,Black or grey water,Black,Opaque,Less odour (I am able to stand near the SWD),1771736112133.jpg,,,Yes,Household (mostly),"Plastic covers,papers etc
",1771736154942.jpg,,Yes,Construction Debris,"Plastic covers, construction waste etcm",1771736240109.jpg,,no,,,,Not Applicable,,,,,,,,OK,677288958,8562032f-19f1-4cec-9954-c626ae5fb3c8,2026-02-22T06:44:36,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:8562032f-19f1-4cec-9954-c626ae5fb3c8,RN223,,RNSIT MUN Society
119,124,2026-02-22T10:50:49.257+05:30,2026-02-22T10:58:52.629+05:30,,,yes__i_feel_safe_to_conduct_audit,A22,lhs,"12.8996047, 77.5375125",12.8996047,77.5375125,,,,yes,,,Yes,1771737989891.jpg,,Farm beside the swd,Flowing,Black or grey water,Black,Opaque,Less odour (I am able to stand near the SWD),1771738059501.jpg,,,Yes,Household (mostly),"Plastic cups ,bags etc",1771738094397.jpg,,No,No waste,No waste ,,,no,,,,Not Applicable,,,,,,,,OK,677289029,90dc37e7-c870-46f0-97d9-60a6c2039e8b,2026-02-22T06:44:48,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:90dc37e7-c870-46f0-97d9-60a6c2039e8b,RN223,,RNSIT MUN Society
120,127,2026-02-22T11:38:14.866+05:30,2026-02-22T11:41:53.481+05:30,,,yes__i_feel_safe_to_conduct_audit,A23,rhs,"12.8952932, 77.528322",12.8952932,77.528322,,,,yes,1771740542856.jpg,,No,,,No,Flowing,Black or grey water,Greenish,Opaque,Strong smell of sewage (unable to stand near the SWD),1771740621326.jpg,,,Yes,Mixed,"Household waste, construction ",1771740665714.jpg,,Yes,Mixed,"Household, construction ",1771740693571.jpg,,no,,,,Not Applicable,,,,,,,,OK,677290458,e41191c3-6ea4-4b58-88b0-384567ab66e7,2026-02-22T06:48:43,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:e41191c3-6ea4-4b58-88b0-384567ab66e7,RN223,,RNSIT MUN Society
121,90,2026-02-22T10:05:28.143+05:30,2026-02-22T10:21:29.452+05:30,,,yes__i_feel_safe_to_conduct_audit,A27,lhs,"12.9127507, 77.5076256",12.9127507,77.5076256,,,,yes,1771735521653.jpg,,No,,,No,Flowing,Black or grey water,Black,Opaque,Less odour (I am able to stand near the SWD),1771735722068.jpg,,,Yes,Household (mostly),Household ,1771735773459.jpg,,Yes,Household (mostly),Household ,1771735809995.jpg,,no,,,,Plants,,,,,,1771735883258.jpg,,OK,677290469,65b99492-a886-4079-b650-82d389614732,2026-02-22T06:48:44,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:65b99492-a886-4079-b650-82d389614732,RN223,,RNSIT MUN Society
123,106,2026-02-22T11:27:13.077+05:30,2026-02-22T11:33:49.395+05:30,,,yes__i_feel_safe_to_conduct_audit,A23,rhs,"12.8951993, 77.5278078",12.8951993,77.5278078,,,,yes,1771739982753.jpg,,No,,,It's dirty and the posters hung up on the railing ,Flowing,Black or grey water,Black,Clear,Strong smell of sewage (unable to stand near the SWD),1771740094857.jpg,,,Yes,Mixed,Household ,1771740162591.jpg,,Yes,Mixed,"House hold waste
",1771740194266.jpg,,no,,,,Not Applicable,,,,,,,,OK,677290546,7b0e146e-debf-434f-b505-23129971e245,2026-02-22T06:48:52,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:7b0e146e-debf-434f-b505-23129971e245,RN223,,RNSIT MUN Society
124,91,2026-02-22T10:28:10.391+05:30,2026-02-22T10:35:12.243+05:30,,,yes__i_feel_safe_to_conduct_audit,A27,lhs,"12.9133757, 77.5070686",12.9133757,77.5070686,,,,yes,1771736443131.jpg,,No,,,Stormwater connection inlet is blocked with watse,Flowing,Black or grey water,Black,Opaque,Less odour (I am able to stand near the SWD),1771736596120.jpg,,,Yes,Household (mostly),Household wastes,1771736637708.jpg,,Yes,Household (mostly),Household waste,1771736659129.jpg,,no,,,,Not Applicable,,,,,,,,OK,677290550,f28d779f-435a-4ab7-ad16-7453b28bab6b,2026-02-22T06:48:53,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:f28d779f-435a-4ab7-ad16-7453b28bab6b,RN223,,RNSIT MUN Society
126,104,2026-02-22T10:07:45.789+05:30,2026-02-22T10:12:50.919+05:30,,,yes__i_feel_safe_to_conduct_audit,A25,rhs,"12.9023313, 77.5120992",12.9023313,77.5120992,,,,yes,1771735166914.jpg,,No,,,Uncleaned ,Flowing,Black or grey water,Greenish,Cloudy,Strong smell of sewage (unable to stand near the SWD),1771735259778.jpg,,,Yes,Household (mostly),"Household waste,sewage ",1771735318599.jpg,,Yes,Household (mostly),Clothes ,1771735339368.jpg,,no,,,,Not Applicable,,,,,,,,OK,677290568,51dcfb56-5f06-43a6-8bae-36799eccee90,2026-02-22T06:48:55,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:51dcfb56-5f06-43a6-8bae-36799eccee90,RN223,,RNSIT MUN Society
127,130,2026-02-22T12:00:49.532+05:30,2026-02-22T12:04:16.804+05:30,,,yes__i_feel_safe_to_conduct_audit,A23,lhs,"12.895402, 77.5313309",12.895402,77.5313309,,,,no,,,Yes,1771741950414.jpg,,,Flowing,Black or grey water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),1771741988834.jpg,,,Yes,Mixed,"Household waste, construction ",1771742017478.jpg,,Yes,Construction Debris,Construction ,1771742035243.jpg,,no,,,,Not Applicable,,,,,,1771742052293.jpg,,OK,677290610,0e95b52e-560b-48ef-aff3-d54a8e9aae72,2026-02-22T06:48:59,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:0e95b52e-560b-48ef-aff3-d54a8e9aae72,RN223,,RNSIT MUN Society
128,114,2026-02-22T11:20:29.266+05:30,2026-02-22T11:23:22.063+05:30,,,yes__i_feel_safe_to_conduct_audit,A23,rhs,"12.8952318, 77.5267629",12.8952318,77.5267629,,,,Cannot see,,,Cannot see,,,,Flowing,Cannot See,Cannot see,Cannot see,Strong smell of sewage (unable to stand near the SWD),,,,Cannot See,Cannot See,,,,Yes,Mixed,,1771739580875.jpg,,no,,,,Plants,,,,,,1771739597944.jpg,,OK,677290652,4f64a923-8b36-4257-b979-c83529db6238,2026-02-22T06:49:04,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:4f64a923-8b36-4257-b979-c83529db6238,RN223,,RNSIT MUN Society
129,105,2026-02-22T10:21:28.666+05:30,2026-02-22T10:24:52.215+05:30,,,yes__i_feel_safe_to_conduct_audit,A25,lhs,"12.9039169, 77.5111536",12.9039169,77.5111536,,,,yes,1771735932107.jpg,,No,,,Uncleaned with solid waste,Flowing,Black or grey water,Greenish,Opaque,Less odour (I am able to stand near the SWD),1771736005476.jpg,,,Yes,Commercial Mostly,Plastic ,1771736055733.jpg,,Yes,Household (mostly),Plastic ,1771736079466.jpg,,yes,,,,Not Applicable,,,,,,,,OK,677290653,cee5d542-8294-4934-bfee-21ba48480cd1,2026-02-22T06:49:04,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:cee5d542-8294-4934-bfee-21ba48480cd1,RN223,,RNSIT MUN Society
130,133,2026-02-22T11:52:42.898+05:30,2026-02-22T11:56:57.534+05:30,,,yes__i_feel_safe_to_conduct_audit,A23,lhs,"12.8955066, 77.5289342",12.8955066,77.5289342,,,,yes,1771741466646.jpg,,No,,,Really dirty and smelly,Flowing,Black or grey water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),1771741508107.jpg,,,Yes,Mixed,Household and construction ,1771741542029.jpg,,Yes,Mixed,Household ,1771741592811.jpg,,no,,,,Not Applicable,,,,,,,,OK,677290701,32831fd3-94ef-44e3-9d1f-06c1eb6583e3,2026-02-22T06:49:10,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:32831fd3-94ef-44e3-9d1f-06c1eb6583e3,RN223,,RNSIT MUN Society
131,94,2026-02-22T11:05:00.443+05:30,2026-02-22T11:11:39.416+05:30,,,yes__i_feel_safe_to_conduct_audit,A27,lhs,"12.9136105, 77.5069291",12.9136105,77.5069291,,,,no,,,No,,,,Flowing,Black or grey water,Black,Opaque,Less odour (I am able to stand near the SWD),1771738660442.jpg,,,Yes,Household (mostly),Household ,1771738708122.jpg,,Yes,Household (mostly),,1771738785315.jpg,,no,,,,Plants,,,,,,1771738886254.jpg,,OK,677290711,28ca98e9-d066-4e7a-8f39-d40b4a53020d,2026-02-22T06:49:12,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:28ca98e9-d066-4e7a-8f39-d40b4a53020d,RN223,,RNSIT MUN Society
132,111,2026-02-22T10:02:22.169+05:30,2026-02-22T10:07:39.055+05:30,,,yes__i_feel_safe_to_conduct_audit,A24,lhs,"12.892931, 77.5138693",12.892931,77.5138693,,,,yes,1771734813128.jpg,,No,,,Filled with solid waste more than expected ,Flowing,Black or grey water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),1771734945161.jpg,,,Yes,Household (mostly),Garbage from residents ,1771734984712.jpg,,Yes,Household (mostly),Household waste from residents,1771735025995.jpg,,no,,,,Not Applicable,,,,,,,,OK,677290714,8b221a73-fcca-4fce-b2d1-a9c16107f8fa,2026-02-22T06:49:12,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:8b221a73-fcca-4fce-b2d1-a9c16107f8fa,RN223,,RNSIT MUN Society
133,108,2026-02-22T10:40:23.308+05:30,2026-02-22T10:43:10.833+05:30,,,yes__i_feel_safe_to_conduct_audit,A25,lhs,"12.9011802, 77.5131097",12.9011802,77.5131097,,,,no,,,No,,,Maintaince is low,Flowing,Black or grey water,Greenish,Opaque,Less odour (I am able to stand near the SWD),1771737131912.jpg,,,Yes,Household (mostly),Plastic ,1771737153722.jpg,,Yes,Household (mostly),Household waste ,1771737178891.jpg,,yes,,,,Plants,,,,,,,,OK,677290723,ee40bc2e-5f57-4a2f-b68e-3ee5a1512220,2026-02-22T06:49:14,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:ee40bc2e-5f57-4a2f-b68e-3ee5a1512220,RN223,,RNSIT MUN Society
134,113,2026-02-22T10:19:19.279+05:30,2026-02-22T10:23:43.863+05:30,,,yes__i_feel_safe_to_conduct_audit,A24,lhs,"12.8935722, 77.5166895",12.8935722,77.5166895,,,,no,,,No,,,Sounds of an inlet are audible but not visible ,Flowing,Black or grey water,Black,Cloudy,Less odour (I am able to stand near the SWD),1771735912499.jpg,,,Yes,Household (mostly),Household residential waste,1771735943598.jpg,,Yes,Household (mostly),Residential waste,1771735986614.jpg,,no,,,,Not Applicable,,,,,,1771736020095.jpg,,OK,677290728,a09fbcbf-b335-4a80-9a7c-851ba35e2bda,2026-02-22T06:49:15,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:a09fbcbf-b335-4a80-9a7c-851ba35e2bda,RN223,,RNSIT MUN Society
135,95,2026-02-22T11:16:43.534+05:30,2026-02-22T11:19:34.778+05:30,,,yes__i_feel_safe_to_conduct_audit,A27,lhs,"12.9144262, 77.5064492",12.9144262,77.5064492,,,,no,,,No,,,,Flowing,Black or grey water,Black,Opaque,Less odour (I am able to stand near the SWD),1771739294682.jpg,,,Yes,Household (mostly),,1771739312362.jpg,,No,No waste,,,,yes,,,,Plants,,,,,,1771739369459.jpg,,OK,677290739,b38e8fbb-657a-4a20-b05a-d59affd3603f,2026-02-22T06:49:18,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:b38e8fbb-657a-4a20-b05a-d59affd3603f,RN223,,RNSIT MUN Society
136,118,2026-02-22T10:28:05.144+05:30,2026-02-22T10:33:41.510+05:30,,,yes__i_feel_safe_to_conduct_audit,A24,lhs,"12.8933466, 77.5183646",12.8933466,77.5183646,,,,yes,1771736433451.jpg,,No,,,Inlet is barely operational due to garbage,Flowing,Solid Particles Or Oily Film On Water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),1771736509850.jpg,,,Yes,Commercial Mostly,Commercial small scale industries ,1771736575090.jpg,,Yes,Household (mostly),Household ,1771736588797.jpg,,no,,,,Not Applicable,,,,,,,,OK,677290743,7756d7bf-4218-41cc-bdb8-934e54caae75,2026-02-22T06:49:19,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:7756d7bf-4218-41cc-bdb8-934e54caae75,RN223,,RNSIT MUN Society
137,110,2026-02-22T10:47:54.603+05:30,2026-02-22T10:50:23.796+05:30,,,yes__i_feel_safe_to_conduct_audit,A25,lhs,"12.9025653, 77.5122327",12.9025653,77.5122327,,,,yes,,,No,,,,Flowing,Black or grey water,Greenish,Opaque,Strong smell of sewage (unable to stand near the SWD),1771737527955.jpg,,,Yes,Construction Debris,Household ,1771737560392.jpg,,Yes,Mixed,Mixed,1771737603989.jpg,,no,,,,Plants,,,,,,1771737603989.jpg,,OK,677290752,061bf90f-2376-477d-b983-9bdd06a4a882,2026-02-22T06:49:20,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:061bf90f-2376-477d-b983-9bdd06a4a882,RN223,,RNSIT MUN Society
138,101,2026-02-22T11:33:52.174+05:30,2026-02-22T11:38:25.504+05:30,,,yes__i_feel_safe_to_conduct_audit,A27,lhs,"12.915777, 77.5060168",12.915777,77.5060168,,,,no,,,Yes,1771740357669.jpg,,,Flowing,Black or grey water,Black,Opaque,Less odour (I am able to stand near the SWD),1771740389072.jpg,,,Yes,Household (mostly),,1771740425963.jpg,,Yes,Construction Debris,,1771740482910.jpg,,no,,,,Not Applicable,,,,,,,,OK,677290769,10cdc366-2306-473e-8287-e5d1259c7eaa,2026-02-22T06:49:23,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:10cdc366-2306-473e-8287-e5d1259c7eaa,RN223,,RNSIT MUN Society
139,120,2026-02-22T10:43:06.913+05:30,2026-02-22T10:51:59.347+05:30,,,yes__i_feel_safe_to_conduct_audit,A24,rhs,"12.8936849, 77.5210856",12.8936849,77.5210856,,,,yes,1771737235347.jpg,,No,,,Inlet causing garbage collection ,Flowing,Black or grey water,Black,Opaque,Less odour (I am able to stand near the SWD),1771737347417.jpg,,,Yes,Household (mostly),Household ,1771737367962.jpg,,No,No waste,,,,yes,,,,Plants,,,,,,1771737392985.jpg,,OK,677290770,5f83ffaf-2fdb-4564-9640-cd9f6ff6ad4c,2026-02-22T06:49:23,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:5f83ffaf-2fdb-4564-9640-cd9f6ff6ad4c,RN223,,RNSIT MUN Society
140,122,2026-02-22T10:53:54.666+05:30,2026-02-22T10:56:18.040+05:30,,,yes__i_feel_safe_to_conduct_audit,A24,rhs,"12.8959321, 77.5209751",12.8959321,77.5209751,,,,Cannot see,,,Cannot see,,,,Flowing,Cannot See,Cannot see,Cannot see,Less odour (I am able to stand near the SWD),,,,Cannot See,Cannot See,,,,No,No waste,,,,yes,,,,Plants,,,,,,1771737973338.jpg,,OK,677290781,17b6f718-d323-4c45-b697-358fda89f37a,2026-02-22T06:49:25,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:17b6f718-d323-4c45-b697-358fda89f37a,RN223,,RNSIT MUN Society
141,123,2026-02-22T11:04:13.321+05:30,2026-02-22T11:07:55.107+05:30,,,yes__i_feel_safe_to_conduct_audit,A24,rhs,"12.8972499, 77.5224248",12.8972499,77.5224248,,,,no,,,No,1771738501662.jpg,,,Flowing,Black or grey water,Greenish,Opaque,No Odour,1771738536225.jpg,,,Yes,Household (mostly),,1771738553999.jpg,,No,No waste,,,,no,,,,Not Applicable,,,,,,,,OK,677290796,3232fc8e-67d1-4919-811f-b623591a7117,2026-02-22T06:49:27,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:3232fc8e-67d1-4919-811f-b623591a7117,RN223,,RNSIT MUN Society
142,115,2026-02-22T11:03:53.947+05:30,2026-02-22T11:06:49.304+05:30,,,yes__i_feel_safe_to_conduct_audit,A25,rhs,"12.9051082, 77.5106274",12.9051082,77.5106274,,,,no,,,Yes,1771738507412.jpg,,Uncleaned ,Flowing,Black or grey water,Greenish,Cloudy,Less odour (I am able to stand near the SWD),1771738535385.jpg,,,Yes,Household (mostly),Household ,1771738556576.jpg,,Yes,Construction Debris,Uncleaned ,1771738577462.jpg,,yes,,,,Plants,,,,,,1771738605375.jpg,,OK,677290806,303a110b-f248-4926-aa0c-c34b9083ec4d,2026-02-22T06:49:28,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:303a110b-f248-4926-aa0c-c34b9083ec4d,RN223,,RNSIT MUN Society
143,126,2026-02-22T11:13:31.341+05:30,2026-02-22T11:16:47.898+05:30,,,yes__i_feel_safe_to_conduct_audit,A24,rhs,"12.8976512, 77.5232476",12.8976512,77.5232476,,,,yes,1771739061489.jpg,,No,,,,Flowing,Black or grey water,Greenish,Cloudy,Less odour (I am able to stand near the SWD),1771739129289.jpg,,,Yes,Household (mostly),,1771739153796.jpg,,Yes,Household (mostly),,1771739188275.jpg,,no,,,,Not Applicable,,,,,,,,OK,677290812,43403f31-fe68-4259-8388-1be7de06ca61,2026-02-22T06:49:30,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:43403f31-fe68-4259-8388-1be7de06ca61,RN223,,RNSIT MUN Society
144,116,2026-02-22T11:48:57.431+05:30,2026-02-22T11:52:21.726+05:30,,,yes__i_feel_safe_to_conduct_audit,A23,lhs,"12.8961683, 77.5318283",12.8961683,77.5318283,,,,no,,,No,,,It's dirty and posters hanging on the railing,Flowing,Black or grey water,Greenish,Clear,Less odour (I am able to stand near the SWD),1771741246872.jpg,,,Yes,Household (mostly),Household  Mostly,1771741289167.jpg,,Yes,Household (mostly),House hold ,1771741312555.jpg,,no,,,,Not Applicable,,,,,,,,OK,677290814,0ee421ba-5940-43e0-9187-fed638e34586,2026-02-22T06:49:30,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:0ee421ba-5940-43e0-9187-fed638e34586,RN223,,RNSIT MUN Society
145,121,2026-02-22T11:55:05.656+05:30,2026-02-22T11:59:14.829+05:30,,,yes__i_feel_safe_to_conduct_audit,A23,lhs,"12.896915, 77.5321967",12.896915,77.5321967,,,,no,,,No,,,,Flowing,Black or grey water,Greenish,Clear,Less odour (I am able to stand near the SWD),1771741641481.jpg,,,Yes,Mixed,"Household, construction",1771741689982.jpg,,No,No waste,,,,not_applicable,,,,Not Applicable,,,,,,1771741749526.jpg,,OK,677290860,55b675e7-1a09-4447-a4ad-a78d87ec62bf,2026-02-22T06:49:37,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:55b675e7-1a09-4447-a4ad-a78d87ec62bf,RN223,,RNSIT MUN Society
146,112,2026-02-22T11:09:53.200+05:30,2026-02-22T11:12:06.823+05:30,,,yes__i_feel_safe_to_conduct_audit,A25,rhs,"12.9052137, 77.5119041",12.9052137,77.5119041,,,,no,,,No,,,Uncleaned ,Flowing,Black or grey water,Greenish,Opaque,Strong smell of sewage (unable to stand near the SWD),1771738856552.jpg,,,Yes,Household (mostly),Household ,1771738878940.jpg,,No,No waste,,,,no,,,,Not Applicable,,,,,,,,OK,677290873,a98d67ad-49a1-43b1-95b3-afea63b846e2,2026-02-22T06:49:39,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:a98d67ad-49a1-43b1-95b3-afea63b846e2,RN223,,RNSIT MUN Society
147,117,2026-02-22T11:30:57.565+05:30,2026-02-22T11:33:39.483+05:30,,,yes__i_feel_safe_to_conduct_audit,A25,rhs,"12.9046716, 77.5115343",12.9046716,77.5115343,,,,no,,,No,,,Uncleaned ,Flowing,Black or grey water,Black,Opaque,Less odour (I am able to stand near the SWD),1771740155297.jpg,,,Yes,Household (mostly),Household ,1771740181783.jpg,,No,No waste,Household ,,,yes,,,,Plants,,,,,,,,OK,677290904,f2c45b3a-649e-4ac3-b61c-ddfa22aad9e2,2026-02-22T06:49:44,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:f2c45b3a-649e-4ac3-b61c-ddfa22aad9e2,RN223,,RNSIT MUN Society
148,78,2026-02-22T10:00:18.982+05:30,2026-02-22T10:09:08.350+05:30,,,yes__i_feel_safe_to_conduct_audit,A28,lhs,"12.9392727, 77.7178042",12.9392727,77.7178042,,,,yes,1771734864850.jpg,,Yes,1771734879164.jpg,,"The authorized inlet currently doesn't have a lot of water flowing, whereas the unauthorized one is dropping continuously ",Stagnant,Black or grey water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),1771735025773.jpg,,,Yes,Household (mostly),"There are lots of  plastic wrappers- surf excel, of other food items. ",1771735103275.jpg,,No,No waste,,,,no,,,,Not Applicable,,,,,,,,OK,677300008,0894b63d-0763-4de6-952a-808481efb009,2026-02-22T07:14:21,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:0894b63d-0763-4de6-952a-808481efb009,MD355,,APU ESS Club
149,84,2026-02-22T10:35:53.353+05:30,2026-02-22T10:42:15.088+05:30,,,yes__i_feel_safe_to_conduct_audit,A28,rhs,"12.9383036, 77.7155557",12.9383036,77.7155557,,,,no,,,No,,,No inlets here,Stagnant,Black or grey water,Greenish,Opaque,Less odour (I am able to stand near the SWD),1771737001769.jpg,,,No,No waste,,,,Yes,Mixed,Both construction and househd,1771737120726.jpg,,no,,,,Not Applicable,,,,,,,,OK,677300325,906c6727-97d6-4155-9d4d-626c66f782d9,2026-02-22T07:15:01,yes,,submitted_via_web,,v6t9E6V8fQEaLEomgyYQKg,,uuid:906c6727-97d6-4155-9d4d-626c66f782d9,MD355,,APU ESS Club
